filepath,scanner,feature_vector
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-1\150.tif,Canon120-1,"0.9658941030502319,0.08345767110586166,0.05464212968945503,0.03027881123125553,0.5768112540245056,0.026752617210149765,0.02251441404223442,-1.7950926118823207e-12,0.01808304339647293,0.03051392175257206,0.016251184046268463,0.007393687032163143,0.017621858045458794,0.0258518997579813,0.02844611369073391,0.028094062581658363,0.026979872956871986,0.0,0.0006866455078125,0.0,7.62939453125e-05,0.0,0.0160064697265625,3.0517578125e-05,0.0009307861328125,0.9818572998046875,0.0004119873046875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-1\300.tif,Canon120-1,"0.9712809920310974,0.07668837904930115,0.05021008476614952,0.027822885662317276,0.530025839805603,0.02458270825445652,0.020688271149992943,-1.5844234561510073e-12,0.016616318374872208,0.028038928285241127,0.01777743175625801,0.008264674805104733,0.019675638526678085,0.028763150796294212,0.031185489147901535,0.02960239350795746,0.026827504858374596,0.0,0.0009002685546875,0.0,6.103515625e-05,0.0,0.0162353515625,0.0001220703125,0.001220703125,0.980926513671875,0.0005340576171875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-2\150.tif,Canon120-2,"0.08244084566831589,0.9999889135360718,0.8957077264785767,0.23430664837360382,0.13779699802398682,0.38857170939445496,0.41266119480133057,0.12480010092258453,0.0705736055970192,0.21202199161052704,0.3341848850250244,0.7272286415100098,0.8640673160552979,0.9125464558601379,0.8742856979370117,0.49588075280189514,0.22358503937721252,3.0517578125e-05,0.0018157958984375,0.0,0.0006103515625,0.0015716552734375,0.0142974853515625,9.1552734375e-05,0.0011138916015625,0.9756927490234375,0.0047760009765625"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-2\300.tif,Canon120-2,"0.08258205652236938,0.9999889135360718,0.8960782289505005,0.23404376208782196,0.1380223035812378,0.3876618444919586,0.4115277826786041,0.12453541904687881,0.070462666451931,0.21189099550247192,0.3343481421470642,0.7292690873146057,0.8668428659439087,0.9150420427322388,0.8768798112869263,0.4990308880805969,0.2287859171628952,4.57763671875e-05,0.00177001953125,0.0,0.000732421875,0.0014190673828125,0.01458740234375,9.1552734375e-05,0.0013275146484375,0.9753570556640625,0.004669189453125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon220\150.tif,Canon220,"0.05249140039086342,0.8968297839164734,0.999955952167511,0.004482095595449209,0.08694138377904892,0.07336634397506714,0.07839780300855637,0.0019397599389776587,0.000545208458788693,0.01310453936457634,0.3486250042915344,0.638641893863678,0.700692355632782,0.7206543684005737,0.6791096925735474,0.38343870639801025,0.2026674598455429,4.57763671875e-05,0.0015716552734375,0.0,0.00067138671875,0.0010986328125,0.0146636962890625,0.000152587890625,0.0011749267578125,0.9779815673828125,0.0026397705078125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon220\300.tif,Canon220,"0.05570433288812637,0.8947919011116028,0.9999465942382812,0.0047732992097735405,0.09234309196472168,0.0736410990357399,0.07800590246915817,0.001877458649687469,0.0006639709463343024,0.013260950334370136,0.3489474356174469,0.5947377681732178,0.6611245274543762,0.6837270259857178,0.6509666442871094,0.37479692697525024,0.2033352255821228,3.0517578125e-05,0.0014801025390625,0.0,0.0006103515625,0.0011444091796875,0.014984130859375,0.0001068115234375,0.00146484375,0.977386474609375,0.0027923583984375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-1\150.tif,Canon9000-1,"0.02764739841222763,0.22745153307914734,0.004574978724122047,0.9996518492698669,0.0474327951669693,0.8564260005950928,0.8137233257293701,0.3133150339126587,0.26781922578811646,0.881598174571991,0.1347060352563858,0.9082497358322144,0.9818523526191711,0.9978713989257812,0.9378519058227539,0.511228084564209,0.25433215498924255,0.0002288818359375,0.0010986328125,1.52587890625e-05,0.0003204345703125,0.0009002685546875,0.013946533203125,0.0001678466796875,0.000213623046875,0.9798431396484375,0.003265380859375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-1\300.tif,Canon9000-1,"0.03228077292442322,0.24096226692199707,0.00466505391523242,0.9996277093887329,0.05535891652107239,0.8790804147720337,0.8401691317558289,0.3233102858066559,0.26921597123146057,0.8804024457931519,0.13497711718082428,0.9076661467552185,0.9380314350128174,0.9213687181472778,0.8495082259178162,0.4154881238937378,0.1576981544494629,0.0001220703125,0.0015106201171875,0.0,0.000518798828125,0.0008392333984375,0.01397705078125,0.0001220703125,0.00030517578125,0.9791412353515625,0.0034637451171875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-2\150.tif,Canon9000-2,"0.5743571519851685,0.13905730843544006,0.09057917445898056,0.05222181975841522,0.9989817142486572,0.043842583894729614,0.03678538277745247,-4.888966090147752e-14,0.028227493166923523,0.05249737575650215,0.028821531683206558,0.07180764526128769,0.1606663465499878,0.24224631488323212,0.29410743713378906,0.31246984004974365,0.3147023618221283,0.0,0.0002899169921875,0.0,3.0517578125e-05,1.52587890625e-05,0.015472412109375,0.00018310546875,0.0003204345703125,0.9835205078125,0.0001678466796875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-2\300.tif,Canon9000-2,"0.5626871585845947,0.13585376739501953,0.0877387747168541,0.04996011033654213,0.9980350136756897,0.04281767085194588,0.03587505221366882,-1.5839707204288317e-13,0.027380259707570076,0.050399549305438995,0.027266651391983032,0.05130130797624588,0.1148727759718895,0.17321975529193878,0.20861786603927612,0.22330142557621002,0.22902046144008636,0.0,0.000457763671875,0.0,4.57763671875e-05,0.0,0.015777587890625,1.52587890625e-05,0.0005340576171875,0.98284912109375,0.0003204345703125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV370-1\150.tif,EpsonV370-1,"0.028323672711849213,0.4046338200569153,0.09240499883890152,0.8668228983879089,0.0469534769654274,0.9981604814529419,0.9845433235168457,0.37717920541763306,0.25499045848846436,0.7688661813735962,0.15151315927505493,0.4253786504268646,0.4959506094455719,0.517624020576477,0.48829197883605957,0.2551082372665405,0.09656216949224472,0.0019378662109375,0.0061187744140625,1.52587890625e-05,0.0014801025390625,0.002288818359375,0.011962890625,0.00054931640625,0.003936767578125,0.9566802978515625,0.0150299072265625"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV370-1\300.tif,EpsonV370-1,"0.02409888617694378,0.3666658103466034,0.05071073770523071,0.8649797439575195,0.039138611406087875,0.9974077939987183,0.9852379560470581,0.3784365952014923,0.2578985393047333,0.7704856991767883,0.14040866494178772,0.35251766443252563,0.41371795535087585,0.43002477288246155,0.4089750349521637,0.22725670039653778,0.10392986983060837,0.001861572265625,0.0065765380859375,7.62939453125e-05,0.001251220703125,0.00213623046875,0.0123291015625,0.000762939453125,0.004302978515625,0.954315185546875,0.016387939453125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV370-2\150.tif,EpsonV370-2,"0.024765972048044205,0.43410271406173706,0.10655490309000015,0.8423070907592773,0.040790215134620667,0.9897558689117432,0.9969189763069153,0.375090092420578,0.2533196806907654,0.762500524520874,0.15623922646045685,0.4127718508243561,0.4646831750869751,0.47250092029571533,0.45227286219596863,0.23645928502082825,0.08908567577600479,0.00115966796875,0.0052947998046875,1.52587890625e-05,0.0013427734375,0.0015869140625,0.0131378173828125,0.000213623046875,0.0035858154296875,0.9615631103515625,0.0121002197265625"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV370-2\300.tif,EpsonV370-2,"0.018500199541449547,0.3768332600593567,0.03752339631319046,0.7968776226043701,0.029976608231663704,0.9728530049324036,0.9938911199569702,0.3706267476081848,0.2492244392633438,0.7243180871009827,0.12959840893745422,0.2984931766986847,0.34305402636528015,0.34578394889831543,0.3324282765388489,0.18751095235347748,0.09002581238746643,0.0014801025390625,0.005218505859375,4.57763671875e-05,0.0007476806640625,0.00140380859375,0.014129638671875,0.000335693359375,0.004119873046875,0.960662841796875,0.0118560791015625"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV39-1\150.tif,EpsonV39-1,"-1.1926862492420143e-12,0.006678648758679628,-3.6644607026526874e-14,0.005376249086111784,-6.868921528574087e-14,0.010399003513157368,0.011876788921654224,0.8776028156280518,0.0027604028582572937,0.0053835236467421055,-0.0025651499163359404,0.009363271296024323,0.02206452563405037,0.031930111348629,0.034340228885412216,0.03275294974446297,0.03060978651046753,0.0,0.0011444091796875,0.0,0.0001373291015625,1.52587890625e-05,0.016357421875,0.0001220703125,0.0015869140625,0.9800567626953125,0.000579833984375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV39-1\300.tif,EpsonV39-1,"-1.80386532534077e-12,0.1868126392364502,0.0029308379162102938,0.48484060168266296,-1.0728610111854914e-13,0.5739032030105591,0.5672092437744141,0.9471734762191772,0.13586971163749695,0.41714274883270264,0.06521338224411011,0.015977246686816216,0.030935237184166908,0.042590025812387466,0.04426545277237892,0.03902473300695419,0.034244053065776825,3.0517578125e-05,0.001739501953125,0.0,0.00018310546875,0.0001220703125,0.0164337158203125,0.0001983642578125,0.00213623046875,0.9765167236328125,0.0026397705078125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV39-2\150.tif,EpsonV39-2,"0.021099932491779327,0.070673868060112,0.001994634745642543,0.2490597814321518,0.03273380920290947,0.24637696146965027,0.24154144525527954,0.08587869256734848,0.9452368021011353,0.2579706907272339,0.03820085525512695,0.04247933253645897,0.0838952511548996,0.11817920207977295,0.13319486379623413,0.12270192801952362,0.10759470611810684,0.001129150390625,0.0086669921875,0.0001220703125,0.000701904296875,0.0008544921875,0.0162353515625,0.00506591796875,0.0106964111328125,0.9446258544921875,0.01190185546875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV39-2\300.tif,EpsonV39-2,"0.013449413701891899,0.06405144929885864,-0.0006730384775437415,0.26161453127861023,0.021180445328354836,0.24302339553833008,0.23981785774230957,0.08509895205497742,0.9582122564315796,0.29191073775291443,0.04511723294854164,0.047380492091178894,0.0916593000292778,0.13084648549556732,0.1500730961561203,0.1398162692785263,0.12879648804664612,0.001495361328125,0.0098876953125,0.000152587890625,0.000946044921875,0.000946044921875,0.0196533203125,0.0026092529296875,0.0124664306640625,0.9372711181640625,0.0145721435546875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV550\150.tif,EpsonV550,"0.03296540305018425,0.21397419273853302,0.015714386478066444,0.8787881731987,0.05641099438071251,0.7688709497451782,0.7477035522460938,0.27299633622169495,0.29007306694984436,0.9971790313720703,0.15608753263950348,0.05896494910120964,0.07500854879617691,0.09622658044099808,0.10692963004112244,0.07738275080919266,0.04888647422194481,0.000579833984375,0.002716064453125,0.0,0.000457763671875,0.0010223388671875,0.0145721435546875,0.0,0.0015716552734375,0.972869873046875,0.0062103271484375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\EpsonV550\300.tif,EpsonV550,"0.027195697650313377,0.2087407112121582,0.010565850883722305,0.878887414932251,0.04667293280363083,0.7693520784378052,0.7478411197662354,0.27390220761299133,0.28814810514450073,0.997169017791748,0.15246856212615967,0.06035818159580231,0.08042961359024048,0.1044735312461853,0.11556736379861832,0.08258968591690063,0.053682081401348114,0.0006256103515625,0.002655029296875,0.0,0.000396728515625,0.00091552734375,0.0148773193359375,3.0517578125e-05,0.0018463134765625,0.97198486328125,0.0066680908203125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\HP\150.tif,HP,"0.013151464983820915,0.2172977179288864,0.2201419472694397,0.11840059608221054,0.02363727241754532,0.11993038654327393,0.11538045853376389,0.039497487246990204,0.024904441088438034,0.10774703323841095,0.7518227696418762,0.0681333914399147,0.13373513519763947,0.18781843781471252,0.21296599507331848,0.20733954012393951,0.19474777579307556,0.016571044921875,0.0460968017578125,0.000732421875,0.008697509765625,0.0058441162109375,0.0447998046875,0.0240020751953125,0.06048583984375,0.7178802490234375,0.07489013671875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\HP\300.tif,HP,"0.013240184634923935,0.284244567155838,0.3032383322715759,0.08377926051616669,0.018654346466064453,0.10009827464818954,0.10324616730213165,0.022511830553412437,0.04112600162625313,0.1243431568145752,0.7478976249694824,0.07300341129302979,0.1380181461572647,0.18667304515838623,0.21006430685520172,0.193129763007164,0.18660743534564972,0.0199432373046875,0.03765869140625,0.0012969970703125,0.009735107421875,0.00543212890625,0.079864501953125,0.037689208984375,0.07098388671875,0.6770172119140625,0.0603790283203125"
